State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NY,00501,BROOKHAVEN,0.087500,0.040000,0.043750,0.000000,0.003750,0
NY,00544,BROOKHAVEN,0.087500,0.040000,0.043750,0.000000,0.003750,0
NY,06390,SOUTHOLD,0.087500,0.040000,0.043750,0.000000,0.003750,0
NY,10001,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10002,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10003,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10004,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10005,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10006,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10007,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10008,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10009,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10010,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10011,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10012,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10013,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10014,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10016,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10017,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10018,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10019,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10020,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10021,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10022,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10023,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10024,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10025,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10026,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10027,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10028,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10029,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10030,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10031,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10032,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10033,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10034,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10035,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10036,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10037,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10038,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10039,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10040,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10041,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10043,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10044,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
NY,10045,NEW YORK CITY,0.088750,0.040000,0.000000,0.045000,0.003750,0
